comparison,model,reference,metric,difference,ci_low,ci_high,contrast_id,family,unoriented_difference,direction,role,relative_loss_reduction_percent
Symptoms beyond context,hist_gradient_boosting__symptoms,hist_gradient_boosting__context,auc,0.01702164040894627,0.0033954305600334663,0.031243921371196727,symptoms_context,hist_gradient_boosting,0.01702164040894627,Positive favours added variables or sensitivity,secondary_exploratory,
Symptoms beyond context,hist_gradient_boosting__symptoms,hist_gradient_boosting__context,brier,0.0034299995205505363,0.0005293648062508272,0.006375067409001776,symptoms_context,hist_gradient_boosting,-0.0034299995205505363,Positive favours added variables or sensitivity,secondary_exploratory,1.4588694328939382
Symptoms beyond context,hist_gradient_boosting__symptoms,hist_gradient_boosting__context,log_loss,0.007190188314194934,0.0011488358772324936,0.013381947208117284,symptoms_context,hist_gradient_boosting,-0.007190188314194934,Positive favours added variables or sensitivity,secondary_exploratory,1.085899858883785
"Symptoms beyond context, diet and labels",hist_gradient_boosting__symptoms_diet_labels,hist_gradient_boosting__context_diet_labels,auc,0.023078201596275383,0.009242556063382484,0.036459480480083246,symptoms_full,hist_gradient_boosting,0.023078201596275383,Positive favours added variables or sensitivity,secondary_exploratory,
"Symptoms beyond context, diet and labels",hist_gradient_boosting__symptoms_diet_labels,hist_gradient_boosting__context_diet_labels,brier,0.00433010020053054,0.0013194918262928762,0.007181998003850285,symptoms_full,hist_gradient_boosting,-0.00433010020053054,Positive favours added variables or sensitivity,secondary_exploratory,1.8111620874872818
"Symptoms beyond context, diet and labels",hist_gradient_boosting__symptoms_diet_labels,hist_gradient_boosting__context_diet_labels,log_loss,0.008631911487313682,0.0021590049366376355,0.014843024954634073,symptoms_full,hist_gradient_boosting,-0.008631911487313682,Positive favours added variables or sensitivity,secondary_exploratory,1.2873561577431432
Training-positive-p99 beverage sensitivity,spline_logistic__context_diet__winsor99,spline_logistic__context_diet,auc,-0.00044428691383979757,-0.0010230865002627322,0.00012513065761946265,winsor_context_diet,spline_logistic,-0.00044428691383979757,Positive favours added variables or sensitivity,secondary_exploratory,
Training-positive-p99 beverage sensitivity,spline_logistic__context_diet__winsor99,spline_logistic__context_diet,brier,-4.504093682064503e-05,-0.00012915162800944605,3.890795925542284e-05,winsor_context_diet,spline_logistic,4.504093682064503e-05,Positive favours added variables or sensitivity,secondary_exploratory,-0.0189339958955991
Training-positive-p99 beverage sensitivity,spline_logistic__context_diet__winsor99,spline_logistic__context_diet,log_loss,-7.974926435894147e-05,-0.00025654935547905766,0.0001025706604304677,winsor_context_diet,spline_logistic,7.974926435894147e-05,Positive favours added variables or sensitivity,secondary_exploratory,-0.011927290193646746
Dietary increment under training-positive-p99 sensitivity,spline_logistic__context_diet__winsor99,spline_logistic__context,auc,-0.01484901711779918,-0.027534113846361844,-0.0018029232388284294,diet_context_winsor,spline_logistic,-0.01484901711779918,Positive favours added variables or sensitivity,secondary_exploratory,
Dietary increment under training-positive-p99 sensitivity,spline_logistic__context_diet__winsor99,spline_logistic__context,brier,-0.004439708411623056,-0.007199310718488928,-0.0016829760971054917,diet_context_winsor,spline_logistic,0.004439708411623056,Positive favours added variables or sensitivity,secondary_exploratory,-1.9014613496124404
Dietary increment under training-positive-p99 sensitivity,spline_logistic__context_diet__winsor99,spline_logistic__context,log_loss,-0.010239589282566075,-0.016148196772941152,-0.004309838610616667,diet_context_winsor,spline_logistic,0.010239589282566075,Positive favours added variables or sensitivity,secondary_exploratory,-1.5550609366473518
Training-positive-p99 beverage sensitivity,spline_logistic__symptoms_diet__winsor99,spline_logistic__symptoms_diet,auc,-0.00041539233455700764,-0.0009589180606657394,6.322228751120805e-05,winsor_symptoms_diet,spline_logistic,-0.00041539233455700764,Positive favours added variables or sensitivity,secondary_exploratory,
Training-positive-p99 beverage sensitivity,spline_logistic__symptoms_diet__winsor99,spline_logistic__symptoms_diet,brier,-6.147329975653149e-05,-0.00015106604398491748,2.9296728979454067e-05,winsor_symptoms_diet,spline_logistic,6.147329975653149e-05,Positive favours added variables or sensitivity,secondary_exploratory,-0.026141434144411824
Training-positive-p99 beverage sensitivity,spline_logistic__symptoms_diet__winsor99,spline_logistic__symptoms_diet,log_loss,-0.0001131087634738126,-0.00030418330568242607,8.635533379925397e-05,winsor_symptoms_diet,spline_logistic,0.0001131087634738126,Positive favours added variables or sensitivity,secondary_exploratory,-0.01706823252394379
Dietary increment under training-positive-p99 sensitivity,spline_logistic__symptoms_diet__winsor99,spline_logistic__symptoms,auc,-0.02181482761539455,-0.03259841924909693,-0.010636617273320497,diet_symptoms_winsor,spline_logistic,-0.02181482761539455,Positive favours added variables or sensitivity,secondary_exploratory,
Dietary increment under training-positive-p99 sensitivity,spline_logistic__symptoms_diet__winsor99,spline_logistic__symptoms,brier,-0.00542139284359483,-0.008130757865132317,-0.002767702056194156,diet_symptoms_winsor,spline_logistic,0.00542139284359483,Positive favours added variables or sensitivity,secondary_exploratory,-2.3592131757487254
Dietary increment under training-positive-p99 sensitivity,spline_logistic__symptoms_diet__winsor99,spline_logistic__symptoms,log_loss,-0.01222745166497785,-0.01842014268899038,-0.006305015358679242,diet_symptoms_winsor,spline_logistic,0.01222745166497785,Positive favours added variables or sensitivity,secondary_exploratory,-1.8794938519725464
