model,fold,block,n_features,repeat,brier_increase,auc_drop,n_test,test_weight_sum
spline_logistic__symptoms_diet_labels,3,labels,6,5,0.0011494878106951822,0.0011977389161265117,1011,2776332.157348156
spline_logistic__symptoms_diet_labels,3,symptoms,6,1,0.0033208344821471503,0.016865287814786245,1011,2776332.157348156
spline_logistic__symptoms_diet_labels,3,symptoms,6,2,0.002474859438017535,0.013422411514620536,1011,2776332.157348156
spline_logistic__symptoms_diet_labels,3,symptoms,6,3,0.0007449198183393235,0.0003926309505664083,1011,2776332.157348156
spline_logistic__symptoms_diet_labels,3,symptoms,6,4,0.0026448454249559106,0.013898592029912504,1011,2776332.157348156
spline_logistic__symptoms_diet_labels,3,symptoms,6,5,0.0032817249300170215,0.017129547109808185,1011,2776332.157348156
spline_logistic__symptoms_diet_labels,4,context,17,1,0.015383770726454443,0.11348909973496046,1007,2777806.4952178
spline_logistic__symptoms_diet_labels,4,context,17,2,0.009959845227666547,0.08599289540540411,1007,2777806.4952178
spline_logistic__symptoms_diet_labels,4,context,17,3,0.008627297594704625,0.06754196686212421,1007,2777806.4952178
spline_logistic__symptoms_diet_labels,4,context,17,4,0.013357966188031756,0.1040704994204622,1007,2777806.4952178
spline_logistic__symptoms_diet_labels,4,context,17,5,0.018109054334915914,0.14830510690552523,1007,2777806.4952178
spline_logistic__symptoms_diet_labels,4,diet,15,1,-0.001413674406865545,0.0009344198922076608,1007,2777806.4952178
spline_logistic__symptoms_diet_labels,4,diet,15,2,-0.002444869684729817,-0.007105868719926245,1007,2777806.4952178
spline_logistic__symptoms_diet_labels,4,diet,15,3,-0.004040301971888122,-0.022458590741995965,1007,2777806.4952178
spline_logistic__symptoms_diet_labels,4,diet,15,4,-0.0005537468799317047,0.006725993871292024,1007,2777806.4952178
spline_logistic__symptoms_diet_labels,4,diet,15,5,0.0021060334499640176,0.019983388366180743,1007,2777806.4952178
spline_logistic__symptoms_diet_labels,4,labels,6,1,0.0012704549469950144,0.007150852818457842,1007,2777806.4952178
spline_logistic__symptoms_diet_labels,4,labels,6,2,0.00013707902195869703,-0.0019466920170327917,1007,2777806.4952178
spline_logistic__symptoms_diet_labels,4,labels,6,3,0.00028264927784479865,0.00020542363838427224,1007,2777806.4952178
spline_logistic__symptoms_diet_labels,4,labels,6,4,0.0004128898195319419,0.001529481553144918,1007,2777806.4952178
spline_logistic__symptoms_diet_labels,4,labels,6,5,0.00024143880310215082,0.001184666618446184,1007,2777806.4952178
