model,weighting,classification_threshold,bootstrap_replicates,n,events,prevalence,auc,average_precision,brier,log_loss,sensitivity,specificity,ppv,npv,accuracy,balanced_accuracy,mean_prediction,calibration_intercept,calibration_slope,joint_calibration_intercept,calibration_status,auc_bootstrap_valid,auc_low,auc_high,brier_bootstrap_valid,brier_low,brier_high,log_loss_bootstrap_valid,log_loss_low,log_loss_high,sensitivity_bootstrap_valid,sensitivity_low,sensitivity_high,specificity_bootstrap_valid,specificity_low,specificity_high,ppv_bootstrap_valid,ppv_low,ppv_high,accuracy_bootstrap_valid,accuracy_low,accuracy_high
random_forest__context,Survey weighted,0.5,1000.0,5036,2689,0.5463828346116878,0.6399247950459723,0.6905806471340438,0.2324438503796906,0.6561177742408191,0.7115926632695312,0.47201642376188097,0.6188115157007499,0.5760487055951758,0.6029167686096795,0.5918045435157061,0.5447076383557883,0.007122618218546776,1.1319670997668114,-0.014131576525023452,Estimated,1000.0,0.61316702315837,0.6664552608349037,1000.0,0.22716401739341618,0.23768502630650223,1000.0,0.6447342856222873,0.6670577501071313,1000.0,0.6787742935008912,0.746329570663676,1000.0,0.43315296399235387,0.5100568377937749,1000.0,0.5864536749789303,0.6531701394729652,1000.0,0.577937318409738,0.6273135760903328
random_forest__context,Unweighted,0.5,,5036,2689,0.5339555202541699,0.6433898904514488,0.6720705663297942,0.23386305487009043,0.6595620580360086,0.7556712532539979,0.4201107797187899,0.5988800471559093,0.6001217285453438,0.5992851469420175,0.5878910164863939,0.552500092881105,-0.07837034985035236,1.1896586244569065,-0.11664305051709875,Estimated,,,,,,,,,,,,,,,,,,,,,
random_forest__context_diet,Survey weighted,0.5,1000.0,5036,2689,0.5463828346116878,0.6252448004857452,0.6657402772761332,0.23608664118850103,0.6644201800213867,0.7151846023397966,0.44295043689982017,0.6072942364813793,0.5635421544854942,0.5916945118910617,0.5790675196198084,0.5432300765265412,0.013409475114044457,0.9522841701692184,0.02105555532945638,Estimated,1000.0,0.5957991482626299,0.6513730663284024,1000.0,0.23067508058569475,0.24161419670628245,1000.0,0.6528835162642564,0.6760656609617705,1000.0,0.6820902999691214,0.7478151102992667,1000.0,0.40435584169256716,0.4838850140894737,1000.0,0.5753869395014347,0.6395685403390586,1000.0,0.5663456054602389,0.6170455084057359
random_forest__context_diet,Unweighted,0.5,,5036,2689,0.5339555202541699,0.6342429659061688,0.6589982201520199,0.23570697346910335,0.6637113020316874,0.766827817032354,0.3945462292288028,0.5920183749641114,0.5962652929813265,0.5933280381254964,0.5806870231305784,0.551852978739173,-0.07564908030728272,1.0876832087725192,-0.09344174629440612,Estimated,,,,,,,,,,,,,,,,,,,,,
random_forest__context_diet_labels,Survey weighted,0.5,1000.0,5036,2689,0.5463828346116878,0.6144081237393945,0.6643547614866194,0.23750509335310344,0.6671603314608631,0.7312694931947263,0.4174543445259852,0.6019126287253388,0.5632591539907237,0.5889175549997002,0.5743619188603557,0.5433194732425966,0.012825115745192076,1.0824800449077505,-0.0005215579152923753,Estimated,1000.0,0.5845045950707204,0.641794362145638,1000.0,0.23236780744778157,0.242392219962119,1000.0,0.6561901052360511,0.6773452486314532,1000.0,0.7006627739802438,0.7638023625860422,1000.0,0.3797346447548163,0.45466985180618186,1000.0,0.5727264240991663,0.6317187391016931,1000.0,0.5659912548083609,0.6124329266987742
random_forest__context_diet_labels,Unweighted,0.5,,5036,2689,0.5339555202541699,0.6300825072337032,0.657543812088511,0.23648344648065295,0.6652415479773574,0.783934548159167,0.37409458883681296,0.5893206597707575,0.6017820424948596,0.5929308975377283,0.5790145684979899,0.5519431334398839,-0.07505913402930936,1.273183095376733,-0.13019036084057423,Estimated,,,,,,,,,,,,,,,,,,,,,
random_forest__symptoms,Survey weighted,0.5,1000.0,5036,2689,0.5463828346116878,0.6543471628720442,0.6904130189908233,0.23097530440302289,0.6537771942353312,0.7403208989970402,0.48159279089215523,0.6323679815955177,0.6062523233236198,0.6229573879922214,0.6109568449445977,0.5453534312118052,0.004369418806893773,1.2100214243824678,-0.030748794430121424,Estimated,1000.0,0.6250361472317724,0.6826720345029963,1000.0,0.22496188916381446,0.2368043948400314,1000.0,0.6410966471327725,0.6660447296701085,1000.0,0.7073565003423232,0.7714431755554587,1000.0,0.44164266193102814,0.5200047079770711,1000.0,0.5995402674191496,0.6648413013973536,1000.0,0.5955039695832112,0.6494936483586115
random_forest__symptoms,Unweighted,0.5,,5036,2689,0.5339555202541699,0.6507322118881975,0.6713798214421747,0.23301183004564072,0.6581363935325444,0.7619933060617329,0.4337452066467831,0.6065719360568382,0.6139927623642943,0.6090150913423351,0.597869256354258,0.5514636769846661,-0.07382320676195564,1.2585742236018935,-0.12550453480342133,Estimated,,,,,,,,,,,,,,,,,,,,,
random_forest__symptoms_diet,Survey weighted,0.5,1000.0,5036,2689,0.5463828346116878,0.6526701920217365,0.6880033560520136,0.2314776516003037,0.6548684125645281,0.7316668829288135,0.45498750997108617,0.6178855130581978,0.5846700695822997,0.6061603700463136,0.5933271964499498,0.5439849905418248,0.01006639200101075,1.3843260052308688,-0.05276413296687628,Estimated,1000.0,0.6240520278037717,0.6813158620993278,1000.0,0.226271678045082,0.23648232969588828,1000.0,0.6438060493076536,0.6651915989328375,1000.0,0.6974542981677894,0.7641442006563196,1000.0,0.414921771829791,0.4953863835694036,1000.0,0.5846299157415434,0.6517707347052009,1000.0,0.5790731085311907,0.6340921268196088
random_forest__symptoms_diet,Unweighted,0.5,,5036,2689,0.5339555202541699,0.6492766772359041,0.6694605595866225,0.23363210562778614,0.6594649617077373,0.7772406098921533,0.40690242863229653,0.6002297530155083,0.6145431145431145,0.6046465448768863,0.5920715192622249,0.5505532361338301,-0.0693332911812631,1.4215434443038502,-0.15291964953113174,Estimated,,,,,,,,,,,,,,,,,,,,,
