feature,mdi,n_encoded_columns,mdi_scaled,rank,model,fold,test_weight_sum,representation
region,0.06828428908836633,14,58.46015969890684,3.0,rf_complete_historical,2,2550707.318306923,"Historical 90-term coding, complete cohort"
rural,0.005390486498016746,1,2.335343006492359,25.0,rf_complete_historical,2,2550707.318306923,"Historical 90-term coding, complete cohort"
education,0.02546688333183415,2,20.25100473681149,18.0,rf_complete_historical,2,2550707.318306923,"Historical 90-term coding, complete cohort"
indigenous,0.00508999515761786,1,2.067192239597352,26.0,rf_complete_historical,2,2550707.318306923,"Historical 90-term coding, complete cohort"
born_chile,0.002773487268673424,1,0.0,27.0,rf_complete_historical,2,2550707.318306923,"Historical 90-term coding, complete cohort"
teeth_remaining,0.09718262733021393,1,84.24829572724033,2.0,rf_complete_historical,2,2550707.318306923,"Historical 90-term coding, complete cohort"
fish,0.040595211169541914,3,33.75113657467212,11.0,rf_complete_historical,2,2550707.318306923,"Historical 90-term coding, complete cohort"
dairy_frequency,0.04720445878826701,6,39.64905967357917,6.0,rf_complete_historical,2,2550707.318306923,"Historical 90-term coding, complete cohort"
dairy_type,0.021922651692782798,2,17.088223304229846,22.0,rf_complete_historical,2,2550707.318306923,"Historical 90-term coding, complete cohort"
wholegrain,0.04071144019236787,5,33.85485637426722,10.0,rf_complete_historical,2,2550707.318306923,"Historical 90-term coding, complete cohort"
legumes,0.029618922688280383,3,23.956178190833043,14.0,rf_complete_historical,2,2550707.318306923,"Historical 90-term coding, complete cohort"
fruit_days,0.04439923419807483,7,37.145749181588855,8.0,rf_complete_historical,2,2550707.318306923,"Historical 90-term coding, complete cohort"
fruit_portions,0.04152197485862707,1,34.5781567264966,9.0,rf_complete_historical,2,2550707.318306923,"Historical 90-term coding, complete cohort"
vegetable_days,0.034945304807324294,7,28.709305013394786,12.0,rf_complete_historical,2,2550707.318306923,"Historical 90-term coding, complete cohort"
vegetable_portions,0.03382191738605947,1,27.706822884849945,13.0,rf_complete_historical,2,2550707.318306923,"Historical 90-term coding, complete cohort"
label_ingredients,0.023517284215284144,4,18.511232477328935,21.0,rf_complete_historical,2,2550707.318306923,"Historical 90-term coding, complete cohort"
label_nutrition,0.025095420971002445,4,19.919521251139567,19.0,rf_complete_historical,2,2550707.318306923,"Historical 90-term coding, complete cohort"
label_warnings,0.026660687075762007,4,21.31632458606719,16.0,rf_complete_historical,2,2550707.318306923,"Historical 90-term coding, complete cohort"
