feature,mdi,n_encoded_columns,mdi_scaled,rank,model,fold,test_weight_sum,representation
vegetable_portions,0.022558312687580663,2,14.843641292660914,22.0,rf_complete_modern,5,2793890.080402851,"Modern coding, complete cohort"
label_ingredients,0.022681627798302337,5,14.926443968040424,21.0,rf_complete_modern,5,2793890.080402851,"Modern coding, complete cohort"
label_nutrition,0.026789936969627122,5,17.68505958847041,17.0,rf_complete_modern,5,2793890.080402851,"Modern coding, complete cohort"
label_warnings,0.04280257072875483,5,28.4370988752094,7.0,rf_complete_modern,5,2793890.080402851,"Modern coding, complete cohort"
label_health,0.021684154842660508,5,14.256668553961083,23.0,rf_complete_modern,5,2793890.080402851,"Modern coding, complete cohort"
label_brand,0.025858408402319524,5,17.059564001481064,19.0,rf_complete_modern,5,2793890.080402851,"Modern coding, complete cohort"
label_discounts,0.029133547900052126,5,19.258729303010437,14.0,rf_complete_modern,5,2793890.080402851,"Modern coding, complete cohort"
water,0.04176147967498158,2,27.73803511845161,8.0,rf_complete_modern,5,2793890.080402851,"Modern coding, complete cohort"
soda_frequency,0.04994935265889689,2,33.23596464848303,3.0,rf_complete_modern,5,2793890.080402851,"Modern coding, complete cohort"
juice_frequency,0.03563254844121487,2,23.622627846764203,12.0,rf_complete_modern,5,2793890.080402851,"Modern coding, complete cohort"
oil,0.0033217609268887563,7,1.9268305178908596,25.0,rf_complete_modern,5,2793890.080402851,"Modern coding, complete cohort"
age,0.14697008214381185,1,100.0,1.0,rf_complete_historical,1,2854394.5302591324,"Historical 90-term coding, complete cohort"
sex,0.029499448671052877,1,19.990604472308863,14.0,rf_complete_historical,1,2854394.5302591324,"Historical 90-term coding, complete cohort"
region,0.0579304894692881,14,39.35502195472103,3.0,rf_complete_historical,1,2854394.5302591324,"Historical 90-term coding, complete cohort"
rural,0.002416800145553334,1,1.5445786550000387,26.0,rf_complete_historical,1,2854394.5302591324,"Historical 90-term coding, complete cohort"
education,0.025434594298675565,2,17.22202707021781,20.0,rf_complete_historical,1,2854394.5302591324,"Historical 90-term coding, complete cohort"
indigenous,0.003904725769795621,1,2.5580066605057272,25.0,rf_complete_historical,1,2854394.5302591324,"Historical 90-term coding, complete cohort"
born_chile,0.00014903356820730775,1,0.0,27.0,rf_complete_historical,1,2854394.5302591324,"Historical 90-term coding, complete cohort"
teeth_remaining,0.11648618166755959,1,79.23737722077718,2.0,rf_complete_historical,1,2854394.5302591324,"Historical 90-term coding, complete cohort"
fish,0.03576504863471402,3,24.258112451884905,10.0,rf_complete_historical,1,2854394.5302591324,"Historical 90-term coding, complete cohort"
dairy_frequency,0.04493979733062732,6,30.507045275157058,8.0,rf_complete_historical,1,2854394.5302591324,"Historical 90-term coding, complete cohort"
dairy_type,0.02572308197646239,2,17.418516388735565,19.0,rf_complete_historical,1,2854394.5302591324,"Historical 90-term coding, complete cohort"
wholegrain,0.04557554041042363,5,30.940050682735887,7.0,rf_complete_historical,1,2854394.5302591324,"Historical 90-term coding, complete cohort"
legumes,0.02607241733809894,3,17.65644914090268,17.0,rf_complete_historical,1,2854394.5302591324,"Historical 90-term coding, complete cohort"
fruit_days,0.04248700297702849,7,28.8364439701025,9.0,rf_complete_historical,1,2854394.5302591324,"Historical 90-term coding, complete cohort"
fruit_portions,0.03239346342635284,1,21.961721545355584,13.0,rf_complete_historical,1,2854394.5302591324,"Historical 90-term coding, complete cohort"
vegetable_days,0.027055182363035522,7,18.325811629776688,16.0,rf_complete_historical,1,2854394.5302591324,"Historical 90-term coding, complete cohort"
vegetable_portions,0.03443289089845836,1,23.350778149903213,11.0,rf_complete_historical,1,2854394.5302591324,"Historical 90-term coding, complete cohort"
label_ingredients,0.020799411116601246,4,14.064998001809096,23.0,rf_complete_historical,1,2854394.5302591324,"Historical 90-term coding, complete cohort"
label_nutrition,0.027974694861726844,4,18.95209274383495,15.0,rf_complete_historical,1,2854394.5302591324,"Historical 90-term coding, complete cohort"
label_warnings,0.02600747824645859,4,17.612219044284817,18.0,rf_complete_historical,1,2854394.5302591324,"Historical 90-term coding, complete cohort"
label_health,0.0221727241779093,4,15.000363247209092,21.0,rf_complete_historical,1,2854394.5302591324,"Historical 90-term coding, complete cohort"
label_brand,0.03309181141990514,4,22.437367238072923,12.0,rf_complete_historical,1,2854394.5302591324,"Historical 90-term coding, complete cohort"
label_discounts,0.020828641431330813,4,14.084906805766801,22.0,rf_complete_historical,1,2854394.5302591324,"Historical 90-term coding, complete cohort"
water,0.046692941790694484,1,31.701114161788386,5.0,rf_complete_historical,1,2854394.5302591324,"Historical 90-term coding, complete cohort"
soda_frequency,0.05480796633197031,1,37.22826753659694,4.0,rf_complete_historical,1,2854394.5302591324,"Historical 90-term coding, complete cohort"
juice_frequency,0.046310848364100106,1,31.440869850566465,6.0,rf_complete_historical,1,2854394.5302591324,"Historical 90-term coding, complete cohort"
oil,0.0040777011701572646,6,2.6758204222515922,24.0,rf_complete_historical,1,2854394.5302591324,"Historical 90-term coding, complete cohort"
age,0.11483408059770243,1,100.0,1.0,rf_complete_historical,2,2550707.318306923,"Historical 90-term coding, complete cohort"
sex,0.021590829681543532,1,16.79211385006608,23.0,rf_complete_historical,2,2550707.318306923,"Historical 90-term coding, complete cohort"
