model,fold,repeat,brier_increase,auc_drop,n_test,test_weight_sum,feature,n_input_columns,representation
rf_complete_historical,1,1,0.00020254915146156183,-0.0020949809176449286,997,2854394.5302591324,vegetable_portions,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,2,1.3663265718610873e-05,-0.0054382122610089345,997,2854394.5302591324,vegetable_portions,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,3,-0.00030512744575836304,-0.0023782849855528143,997,2854394.5302591324,vegetable_portions,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,4,-0.0002513049642697551,-0.0036588361001044234,997,2854394.5302591324,vegetable_portions,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,5,0.0002722200964845878,-0.001604418502838878,997,2854394.5302591324,vegetable_portions,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,1,-0.0001256238474544591,0.0018166716345117129,997,2854394.5302591324,label_ingredients,4,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,2,9.149822409121322e-05,0.0011523541805144033,997,2854394.5302591324,label_ingredients,4,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,3,-0.0002968971835528855,-0.0004173874952670964,997,2854394.5302591324,label_ingredients,4,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,4,0.0003462492429057995,0.0025830090248447624,997,2854394.5302591324,label_ingredients,4,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,5,1.4660408164612893e-05,0.001244340716378911,997,2854394.5302591324,label_ingredients,4,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,1,-0.0020806047454737797,-0.012983536907148152,997,2854394.5302591324,label_nutrition,4,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,2,-0.0003464113582077877,0.0019031748025670758,997,2854394.5302591324,label_nutrition,4,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,3,0.00038323593579203674,0.005520139276929181,997,2854394.5302591324,label_nutrition,4,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,4,-0.00024784281848627687,-0.0023873582987786746,997,2854394.5302591324,label_nutrition,4,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,5,-0.0009643369433160742,-0.0033524476027676497,997,2854394.5302591324,label_nutrition,4,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,1,0.0014605924687763894,0.004542493235040079,997,2854394.5302591324,label_warnings,4,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,2,0.0008497689842404399,0.006095793403219973,997,2854394.5302591324,label_warnings,4,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,3,-0.0017778677259828735,-0.01660138224386254,997,2854394.5302591324,label_warnings,4,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,4,0.0009077578795019248,0.0036631691785332654,997,2854394.5302591324,label_warnings,4,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,5,-0.0006720872175444981,-0.004004632436362843,997,2854394.5302591324,label_warnings,4,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,1,0.00036351611664828254,0.004243812360128052,997,2854394.5302591324,label_health,4,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,2,-0.00039448524110580196,-0.005221747506741425,997,2854394.5302591324,label_health,4,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,3,-0.00044861184421415845,-0.0032949213345113693,997,2854394.5302591324,label_health,4,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,4,-0.00035838993789027995,-0.0014053993625207095,997,2854394.5302591324,label_health,4,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,5,8.187517894076013e-05,0.0018745243181391702,997,2854394.5302591324,label_health,4,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,1,-0.0010464315624210963,-0.0006409037157099062,997,2854394.5302591324,label_brand,4,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,2,-0.0008115492235004629,-0.005661402013429684,997,2854394.5302591324,label_brand,4,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,3,-0.0030022210318783327,-0.018960983123725517,997,2854394.5302591324,label_brand,4,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,4,-0.000978402000889389,-8.923595609411361e-05,997,2854394.5302591324,label_brand,4,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,5,-0.0011583104377962672,-0.005214729853267652,997,2854394.5302591324,label_brand,4,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,1,0.0002686847651671709,0.002720241043811189,997,2854394.5302591324,label_discounts,4,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,2,-0.0001238945196037622,-0.0012199359936020393,997,2854394.5302591324,label_discounts,4,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,3,0.00015845437885880775,0.00047982122500522806,997,2854394.5302591324,label_discounts,4,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,4,0.000159117182243651,-0.00033011078347200407,997,2854394.5302591324,label_discounts,4,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,5,0.00026499910701180407,0.0012075800178240614,997,2854394.5302591324,label_discounts,4,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,1,-0.0010595526658184473,-0.008999438054664188,997,2854394.5302591324,water,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,2,0.000784816384410969,0.009611721473095303,997,2854394.5302591324,water,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,3,-0.00018507422032881804,-0.001937361348831379,997,2854394.5302591324,water,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,4,-0.00014265924915904393,0.002177107315029514,997,2854394.5302591324,water,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,5,0.0004943969000454351,0.00743962426540512,997,2854394.5302591324,water,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,1,0.0006594338302214342,0.007708628169280418,997,2854394.5302591324,soda_frequency,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,2,0.0017636242127067048,0.014810052950648744,997,2854394.5302591324,soda_frequency,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,3,0.0003593662147861332,0.005942590803863057,997,2854394.5302591324,soda_frequency,1,"Historical 90-term coding, complete cohort"
rf_complete_historical,1,4,0.000905121276070453,0.0102267204243639,997,2854394.5302591324,soda_frequency,1,"Historical 90-term coding, complete cohort"
