bin,n,predicted,observed,model
"(0.466, 0.496]",504,0.4829558963284354,0.4978189478783883,svm
"(0.496, 0.519]",503,0.5077760518480192,0.546481610217014,svm
"(0.519, 0.538]",504,0.5292609764010591,0.5452300626820877,svm
"(0.538, 0.555]",503,0.5467515109151314,0.556031566298986,svm
"(0.555, 0.571]",504,0.5632564365603447,0.5185110664830782,svm
"(0.571, 0.587]",503,0.5791962822756055,0.5299349487069043,svm
"(0.587, 0.603]",504,0.594941904588833,0.5637690433670173,svm
"(0.603, 0.624]",503,0.6125613332243446,0.6603401431164994,svm
"(0.624, 0.729]",504,0.6461059794368287,0.5964599308615067,svm
"(0.378, 0.487]",1022,0.46062525676389504,0.5207814761493859,decision_tree
"(0.487, 0.492]",525,0.49212369270490924,0.4638508424505184,decision_tree
"(0.492, 0.5]",571,0.49994645283309075,0.490377968038643,decision_tree
"(0.5, 0.583]",986,0.5770307855642338,0.5722205641934899,decision_tree
"(0.583, 0.604]",733,0.6037682533056344,0.56437669012267,decision_tree
"(0.604, 0.658]",406,0.6584053879025485,0.6602921019603549,decision_tree
"(0.658, 0.66]",436,0.6595155258435791,0.6556239864257367,decision_tree
"(0.66, 0.808]",357,0.698440261569193,0.6214695752779446,decision_tree
"(0.324, 0.46]",504,0.4329361611268137,0.4068183457225872,knn
"(0.46, 0.491]",504,0.47712435440529594,0.43781635150328047,knn
"(0.491, 0.513]",503,0.5012263041281382,0.5146001232174665,knn
"(0.513, 0.533]",504,0.5231096687972893,0.5168209948996609,knn
"(0.533, 0.551]",503,0.5421312662662705,0.6044049424925653,knn
"(0.551, 0.567]",504,0.5587786530785658,0.5519805868153941,knn
"(0.567, 0.582]",503,0.5739508096682941,0.6310075922019861,knn
"(0.582, 0.6]",504,0.5911773987834094,0.6123283844947727,knn
"(0.6, 0.625]",503,0.6121590684771755,0.610486407372863,knn
"(0.625, 0.74]",504,0.6513624836717958,0.6967417793699788,knn
"(0.179, 0.398]",504,0.3488770335544768,0.42800464631873536,spline_base
"(0.398, 0.45]",504,0.4261852765635376,0.4419662405023176,spline_base
"(0.45, 0.491]",503,0.47179836499991173,0.5377123784915286,spline_base
"(0.491, 0.524]",504,0.5073484542012301,0.4175585350977398,spline_base
"(0.524, 0.555]",503,0.5389296615564482,0.43603420123955455,spline_base
"(0.555, 0.585]",504,0.5691776457558182,0.5241955601622458,spline_base
"(0.585, 0.618]",503,0.6018469516850269,0.5957736736213944,spline_base
"(0.618, 0.651]",504,0.634916998726008,0.7131132855303881,spline_base
"(0.651, 0.69]",503,0.6676375111331561,0.6291618820687304,spline_base
