model,fold,candidate,params,inner_weighted_log_loss,inner_fold_log_losses,selected
hist_gradient_boosting,1,0,"{""l2_regularization"": 1.0, ""max_leaf_nodes"": 3}",0.6807031396595655,"[0.6949105849180003, 0.6728743545439799, 0.6733098463935563]",True
hist_gradient_boosting,1,1,"{""l2_regularization"": 1.0, ""max_leaf_nodes"": 7}",0.7063261610395479,"[0.7339289969940984, 0.6850364509422989, 0.6980227163706784]",False
hist_gradient_boosting,1,2,"{""l2_regularization"": 1.0, ""max_leaf_nodes"": 15}",0.7356315872021072,"[0.7679719296610849, 0.6969433399849508, 0.7396045141114574]",False
hist_gradient_boosting,1,3,"{""l2_regularization"": 10.0, ""max_leaf_nodes"": 3}",0.6814812668334483,"[0.6950921944885501, 0.6744807253781779, 0.6739004131115873]",False
hist_gradient_boosting,1,4,"{""l2_regularization"": 10.0, ""max_leaf_nodes"": 7}",0.7022778808502114,"[0.7273336561753102, 0.6917927929106623, 0.6859282258505096]",False
hist_gradient_boosting,1,5,"{""l2_regularization"": 10.0, ""max_leaf_nodes"": 15}",0.7294697336622136,"[0.760078268758103, 0.7096057687043322, 0.7165298460368345]",False
hist_gradient_boosting,1,6,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 3}",0.681540300378218,"[0.6869665753181172, 0.6807571556552235, 0.6765165632498906]",False
hist_gradient_boosting,1,7,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 7}",0.691819570761133,"[0.7057831331687686, 0.690029920319823, 0.6786669408315236]",False
hist_gradient_boosting,1,8,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 15}",0.705965637869054,"[0.722426659734877, 0.6911072472099185, 0.7031693012488207]",False
hist_gradient_boosting,2,0,"{""l2_regularization"": 1.0, ""max_leaf_nodes"": 3}",0.6826969733599745,"[0.6976158778237598, 0.6747851637951593, 0.6756674285904426]",True
hist_gradient_boosting,2,1,"{""l2_regularization"": 1.0, ""max_leaf_nodes"": 7}",0.7069191870856228,"[0.7247320515861019, 0.694968156561504, 0.7006338914407085]",False
hist_gradient_boosting,2,2,"{""l2_regularization"": 1.0, ""max_leaf_nodes"": 15}",0.7343037474662645,"[0.7364192734238438, 0.7496507112776496, 0.7194463838990364]",False
hist_gradient_boosting,2,3,"{""l2_regularization"": 10.0, ""max_leaf_nodes"": 3}",0.6843927927328771,"[0.7004695472852567, 0.6747665636711261, 0.6777437977478608]",False
hist_gradient_boosting,2,4,"{""l2_regularization"": 10.0, ""max_leaf_nodes"": 7}",0.7053600996949007,"[0.7179693910743367, 0.7062060980887389, 0.6930788937055327]",False
hist_gradient_boosting,2,5,"{""l2_regularization"": 10.0, ""max_leaf_nodes"": 15}",0.728224698219313,"[0.7463717189699829, 0.7376097958245342, 0.7036758583021475]",False
hist_gradient_boosting,2,6,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 3}",0.6836969164207813,"[0.7035669406526269, 0.6723117776577963, 0.675047882053429]",False
hist_gradient_boosting,2,7,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 7}",0.6994140954389726,"[0.7240176167874502, 0.686295723629258, 0.6878807402745748]",False
hist_gradient_boosting,2,8,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 15}",0.7074002277959993,"[0.731011423572413, 0.6973300502546816, 0.69421191788982]",False
hist_gradient_boosting,3,0,"{""l2_regularization"": 1.0, ""max_leaf_nodes"": 3}",0.6910945918973479,"[0.6861356884171986, 0.7127540609603652, 0.6730933078667489]",False
hist_gradient_boosting,3,1,"{""l2_regularization"": 1.0, ""max_leaf_nodes"": 7}",0.7155939141001189,"[0.7099413547623692, 0.7357207144809815, 0.7000911059365759]",False
hist_gradient_boosting,3,2,"{""l2_regularization"": 1.0, ""max_leaf_nodes"": 15}",0.7370807303187507,"[0.7411980454401109, 0.7542600386404276, 0.7133643153665142]",False
hist_gradient_boosting,3,3,"{""l2_regularization"": 10.0, ""max_leaf_nodes"": 3}",0.6871921191896482,"[0.6852858600665078, 0.7064044013370535, 0.6683025884611534]",False
hist_gradient_boosting,3,4,"{""l2_regularization"": 10.0, ""max_leaf_nodes"": 7}",0.7132185813629399,"[0.7097389939498208, 0.7411530095753405, 0.6865834018857312]",False
