model,fold,feature,repeat,brier_increase,auc_drop,n_test,test_weight_sum,base_model,encoding,encoding_label
spline_logistic,5,water,3,-0.0006951204439250291,-0.005019800789969664,1005,2807410.1710247993,spline_logistic,physical,Reported glasses/day
spline_logistic,5,water,4,-0.0005989773497479534,-0.0028754286327510314,1005,2807410.1710247993,spline_logistic,physical,Reported glasses/day
spline_logistic,5,water,5,3.973927548631129e-05,0.0016076993826977803,1005,2807410.1710247993,spline_logistic,physical,Reported glasses/day
random_forest_water_index,1,water,1,0.0007137616043735029,0.011141043472159051,1006,2861322.5562906265,random_forest,index,Historical factor index
random_forest_water_index,1,water,2,0.00019200458263851639,0.0020481182030163136,1006,2861322.5562906265,random_forest,index,Historical factor index
random_forest_water_index,1,water,3,-0.0005375301613111672,0.0008301525395741916,1006,2861322.5562906265,random_forest,index,Historical factor index
random_forest_water_index,1,water,4,-0.00035910521423340724,-0.0001856262583278534,1006,2861322.5562906265,random_forest,index,Historical factor index
random_forest_water_index,1,water,5,1.0238781450233603e-05,0.001720059791813,1006,2861322.5562906265,random_forest,index,Historical factor index
random_forest_water_index,2,water,1,-0.0014866926902844246,-0.00545296206800816,1007,2574325.41285038,random_forest,index,Historical factor index
random_forest_water_index,2,water,2,-0.001615783462566911,-0.008935793384153623,1007,2574325.41285038,random_forest,index,Historical factor index
random_forest_water_index,2,water,3,-0.0004089789717861836,0.0003675176615238751,1007,2574325.41285038,random_forest,index,Historical factor index
random_forest_water_index,2,water,4,-0.0028888429542171523,-0.016214531121765074,1007,2574325.41285038,random_forest,index,Historical factor index
random_forest_water_index,2,water,5,0.0010752158379441212,0.007691121881811425,1007,2574325.41285038,random_forest,index,Historical factor index
random_forest_water_index,3,water,1,8.708999493178826e-05,0.0009290182281109782,1011,2776332.157348156,random_forest,index,Historical factor index
random_forest_water_index,3,water,2,-0.00011300028251720606,-0.00028908117535364486,1011,2776332.157348156,random_forest,index,Historical factor index
random_forest_water_index,3,water,3,9.097620409298512e-05,0.001304354065222335,1011,2776332.157348156,random_forest,index,Historical factor index
random_forest_water_index,3,water,4,1.9885725922097475e-05,0.0003433187885882871,1011,2776332.157348156,random_forest,index,Historical factor index
random_forest_water_index,3,water,5,0.0001865139602382493,0.0011681152948914697,1011,2776332.157348156,random_forest,index,Historical factor index
random_forest_water_index,4,water,1,8.660896432410858e-05,0.0026775025055435497,1007,2777806.4952178,random_forest,index,Historical factor index
random_forest_water_index,4,water,2,-0.0001907537274702109,-0.001322739169351772,1007,2777806.4952178,random_forest,index,Historical factor index
random_forest_water_index,4,water,3,8.98367662680033e-06,0.002475455598043408,1007,2777806.4952178,random_forest,index,Historical factor index
random_forest_water_index,4,water,4,-0.0001634296431868021,-0.0009181461336281727,1007,2777806.4952178,random_forest,index,Historical factor index
random_forest_water_index,4,water,5,-0.00011745517027039742,-0.0012988686502339863,1007,2777806.4952178,random_forest,index,Historical factor index
random_forest_water_index,5,water,1,-9.328695794280639e-05,-0.001618259311093495,1005,2807410.1710247993,random_forest,index,Historical factor index
random_forest_water_index,5,water,2,0.0006592605256750816,0.004503877079621077,1005,2807410.1710247993,random_forest,index,Historical factor index
random_forest_water_index,5,water,3,-6.942614661500923e-05,0.00023426609380139407,1005,2807410.1710247993,random_forest,index,Historical factor index
random_forest_water_index,5,water,4,0.0005434046939140347,0.005557399450825229,1005,2807410.1710247993,random_forest,index,Historical factor index
random_forest_water_index,5,water,5,0.00010308404691758422,0.0005066506113865499,1005,2807410.1710247993,random_forest,index,Historical factor index
random_forest_water_nominal,1,water,1,-4.6085249035654474e-05,0.0011748740383573653,1006,2861322.5562906265,random_forest,nominal,Nominal water categories
random_forest_water_nominal,1,water,2,-8.919457997719205e-06,0.0007618002081737352,1006,2861322.5562906265,random_forest,nominal,Nominal water categories
random_forest_water_nominal,1,water,3,-0.0005338391871186066,-0.0013935749610608505,1006,2861322.5562906265,random_forest,nominal,Nominal water categories
random_forest_water_nominal,1,water,4,-8.639298912144211e-05,0.0007354661521797867,1006,2861322.5562906265,random_forest,nominal,Nominal water categories
random_forest_water_nominal,1,water,5,-7.804019400589612e-05,0.0030036189381162925,1006,2861322.5562906265,random_forest,nominal,Nominal water categories
random_forest_water_nominal,2,water,1,-0.002600600846154544,-0.011556511751848353,1007,2574325.41285038,random_forest,nominal,Nominal water categories
random_forest_water_nominal,2,water,2,-0.0024678112565243437,-0.013255255142996414,1007,2574325.41285038,random_forest,nominal,Nominal water categories
random_forest_water_nominal,2,water,3,-0.001067238012999988,-0.002108356928391064,1007,2574325.41285038,random_forest,nominal,Nominal water categories
random_forest_water_nominal,2,water,4,-0.002140182873798968,-0.014098261579232108,1007,2574325.41285038,random_forest,nominal,Nominal water categories
random_forest_water_nominal,2,water,5,-6.676222690352174e-05,-2.5074752213471996e-06,1007,2574325.41285038,random_forest,nominal,Nominal water categories
random_forest_water_nominal,3,water,1,-6.43909663750053e-06,-0.0002796654664799503,1011,2776332.157348156,random_forest,nominal,Nominal water categories
random_forest_water_nominal,3,water,2,1.1079478220571426e-05,4.144337011846577e-05,1011,2776332.157348156,random_forest,nominal,Nominal water categories
random_forest_water_nominal,3,water,3,2.1024978660855176e-06,-0.00012489596852338636,1011,2776332.157348156,random_forest,nominal,Nominal water categories
random_forest_water_nominal,3,water,4,-6.358719339044638e-06,-8.691042778830038e-05,1011,2776332.157348156,random_forest,nominal,Nominal water categories
random_forest_water_nominal,3,water,5,7.526027111487421e-06,-2.37063993060449e-05,1011,2776332.157348156,random_forest,nominal,Nominal water categories
random_forest_water_nominal,4,water,1,3.265895737708524e-06,-0.0023337703803163468,1007,2777806.4952178,random_forest,nominal,Nominal water categories
random_forest_water_nominal,4,water,2,6.0415478705749814e-05,-0.0011683280685325093,1007,2777806.4952178,random_forest,nominal,Nominal water categories
random_forest_water_nominal,4,water,3,-6.140443315325039e-05,-0.0014738118341227624,1007,2777806.4952178,random_forest,nominal,Nominal water categories
random_forest_water_nominal,4,water,4,-6.869176846296954e-05,-0.0004919286046386473,1007,2777806.4952178,random_forest,nominal,Nominal water categories
random_forest_water_nominal,4,water,5,3.0217916500152597e-06,-0.002381329129749421,1007,2777806.4952178,random_forest,nominal,Nominal water categories
