model,fold,block,repeat,n_features,brier_increase,auc_drop,n_test,test_weight_sum
spline_logistic,3,Food intake,5,9,0.003322420903872636,0.021905398644896046,1011,2776332.157348156
spline_logistic,3,Label-related behaviours,1,6,-5.604538566630901e-05,-0.011012931291791928,1011,2776332.157348156
spline_logistic,3,Label-related behaviours,2,6,0.0017335343928050473,0.0050716131997390335,1011,2776332.157348156
spline_logistic,3,Label-related behaviours,3,6,0.0007203917840345464,-0.0008651365358752772,1011,2776332.157348156
spline_logistic,3,Label-related behaviours,4,6,-0.00051648867787224,-0.008707805125157675,1011,2776332.157348156
spline_logistic,3,Label-related behaviours,5,6,0.0005191995843097652,-0.0030748374396329936,1011,2776332.157348156
spline_logistic,3,Beverages,1,3,0.0008600935769158824,0.006039257479011129,1011,2776332.157348156
spline_logistic,3,Beverages,2,3,-8.709332488265886e-05,0.0016573043017212852,1011,2776332.157348156
spline_logistic,3,Beverages,3,3,0.000956245952054402,0.005743756140800138,1011,2776332.157348156
spline_logistic,3,Beverages,4,3,0.000581720456985485,0.0044359772944235765,1011,2776332.157348156
spline_logistic,3,Beverages,5,3,0.0010056351421631748,0.004506687788500274,1011,2776332.157348156
spline_logistic,3,Cooking fat,1,1,-3.174085984092301e-05,-0.00022266815305438392,1011,2776332.157348156
spline_logistic,3,Cooking fat,2,1,2.2961068376070592e-06,-0.0003311685513291973,1011,2776332.157348156
spline_logistic,3,Cooking fat,3,1,-2.893860099217882e-06,-6.395157619021319e-06,1011,2776332.157348156
spline_logistic,3,Cooking fat,4,1,1.1206036046124135e-05,-3.2507826838834575e-05,1011,2776332.157348156
spline_logistic,3,Cooking fat,5,1,-2.3176097787042105e-05,-0.000448444430060535,1011,2776332.157348156
spline_logistic,4,Sociodemographic,1,7,0.005070375687183715,0.0477887857663194,1007,2777806.4952178
spline_logistic,4,Sociodemographic,2,7,0.009678141843787902,0.08613519597958563,1007,2777806.4952178
spline_logistic,4,Sociodemographic,3,7,0.006512635235282754,0.0632727559209697,1007,2777806.4952178
spline_logistic,4,Sociodemographic,4,7,0.010213901128665409,0.0816096389619253,1007,2777806.4952178
spline_logistic,4,Sociodemographic,5,7,0.008089836558322988,0.07833441291166932,1007,2777806.4952178
spline_logistic,4,Remaining teeth,1,1,0.002378708252875672,0.021239256746862223,1007,2777806.4952178
spline_logistic,4,Remaining teeth,2,1,0.000709611491346962,0.00447292752745676,1007,2777806.4952178
spline_logistic,4,Remaining teeth,3,1,0.007613100392601269,0.07796574585179905,1007,2777806.4952178
spline_logistic,4,Remaining teeth,4,1,0.00026165409531436756,0.007982568399675372,1007,2777806.4952178
spline_logistic,4,Remaining teeth,5,1,0.004394447519021322,0.05108185004755894,1007,2777806.4952178
spline_logistic,4,Food intake,1,9,0.0011369599329846825,0.01367216696873319,1007,2777806.4952178
spline_logistic,4,Food intake,2,9,0.000860131479165388,0.01750650727381764,1007,2777806.4952178
spline_logistic,4,Food intake,3,9,-0.00012663563542872347,0.003201408643073611,1007,2777806.4952178
spline_logistic,4,Food intake,4,9,0.0014874474066941534,0.014220681222618548,1007,2777806.4952178
