model,fold,feature,repeat,brier_increase,auc_drop,n_test,test_weight_sum
spline_logistic,1,vegetable_days,5,-0.0009326559392323908,-0.007840358162064076,1006,2861322.5562906265
spline_logistic,1,vegetable_portions,1,-0.0020876372861414194,-0.013360886953265094,1006,2861322.5562906265
spline_logistic,1,vegetable_portions,2,-0.0015677229599488363,-0.007975719865011777,1006,2861322.5562906265
spline_logistic,1,vegetable_portions,3,0.00044604131737130404,0.00695287655014365,1006,2861322.5562906265
spline_logistic,1,vegetable_portions,4,-0.0006846345987144287,-0.004378021649501629,1006,2861322.5562906265
spline_logistic,1,vegetable_portions,5,-0.0022307288051240104,-0.014686106685875111,1006,2861322.5562906265
spline_logistic,1,label_ingredients,1,7.914619680737811e-05,-0.0010295957922992205,1006,2861322.5562906265
spline_logistic,1,label_ingredients,2,0.0001514277364273453,0.00011979100459846848,1006,2861322.5562906265
spline_logistic,1,label_ingredients,3,-0.00029057237811350167,-0.0021762350678679043,1006,2861322.5562906265
spline_logistic,1,label_ingredients,4,0.00027832222357232483,0.0018852330648210236,1006,2861322.5562906265
spline_logistic,1,label_ingredients,5,-0.0004180215599906556,-0.0030056840359719006,1006,2861322.5562906265
spline_logistic,1,label_nutrition,1,-0.0004631294400563868,-0.002992330228080764,1006,2861322.5562906265
spline_logistic,1,label_nutrition,2,-0.00011363983712825432,-0.0017374517164514547,1006,2861322.5562906265
spline_logistic,1,label_nutrition,3,-2.486135269347267e-06,9.3854113649261e-05,1006,2861322.5562906265
spline_logistic,1,label_nutrition,4,-0.0001873759850994361,-0.00116566723666367,1006,2861322.5562906265
spline_logistic,1,label_nutrition,5,0.0002175796946780051,0.0028282148363244497,1006,2861322.5562906265
spline_logistic,1,label_warnings,1,0.0005140068243728868,0.002384802640113648,1006,2861322.5562906265
spline_logistic,1,label_warnings,2,-0.0007345878743972023,-0.0071351914553939855,1006,2861322.5562906265
spline_logistic,1,label_warnings,3,-6.549159360869083e-05,-0.0027888453725281037,1006,2861322.5562906265
spline_logistic,1,label_warnings,4,0.0010859637840060221,0.0061770534168354985,1006,2861322.5562906265
spline_logistic,1,label_warnings,5,0.00012956131637828494,0.000867460344862625,1006,2861322.5562906265
spline_logistic,1,label_health,1,-0.0001185588484861333,-0.001130166327760751,1006,2861322.5562906265
spline_logistic,1,label_health,2,0.0002102753185365125,0.0011425963929379002,1006,2861322.5562906265
spline_logistic,1,label_health,3,-0.0003646330813474874,-0.002533766511079283,1006,2861322.5562906265
spline_logistic,1,label_health,4,-0.000308349639669081,-0.0021803071373304173,1006,2861322.5562906265
spline_logistic,1,label_health,5,-0.0003339084895475075,-0.0023795694702579695,1006,2861322.5562906265
spline_logistic,1,label_brand,1,-0.00027977184345875927,-0.0022875857589720328,1006,2861322.5562906265
spline_logistic,1,label_brand,2,6.0676042844293177e-05,0.0016101884907430142,1006,2861322.5562906265
spline_logistic,1,label_brand,3,-0.00043367264840565856,-0.003431400456722078,1006,2861322.5562906265
spline_logistic,1,label_brand,4,0.0007117817615330813,0.0062574089675854205,1006,2861322.5562906265
spline_logistic,1,label_brand,5,-0.0005114059267080362,-0.0024275786756283724,1006,2861322.5562906265
spline_logistic,1,label_discounts,1,-0.00048761480460163265,-0.0020960750072762657,1006,2861322.5562906265
spline_logistic,1,label_discounts,2,-0.0004658575293542966,-0.000795622175130628,1006,2861322.5562906265
spline_logistic,1,label_discounts,3,-0.00019755485291420016,0.0014494881166804419,1006,2861322.5562906265
spline_logistic,1,label_discounts,4,-0.0004177571776547706,-0.0023424811671887147,1006,2861322.5562906265
spline_logistic,1,label_discounts,5,-0.0006038429362939801,-0.0020578813888699754,1006,2861322.5562906265
spline_logistic,1,water,1,0.0005096745998419694,0.0069497308530459545,1006,2861322.5562906265
spline_logistic,1,water,2,0.0004798398001001347,0.004305927942684917,1006,2861322.5562906265
spline_logistic,1,water,3,-0.0009865229042712031,-0.007669047951689212,1006,2861322.5562906265
spline_logistic,1,water,4,-0.0010437292117548291,-0.008230520444908018,1006,2861322.5562906265
spline_logistic,1,water,5,-0.00048221928271199865,-0.006107804415759643,1006,2861322.5562906265
spline_logistic,1,soda_frequency,1,0.000828107918155685,0.006679649787437514,1006,2861322.5562906265
spline_logistic,1,soda_frequency,2,-0.00021556573008962854,-0.0003406497197704361,1006,2861322.5562906265
spline_logistic,1,soda_frequency,3,-1.6879230802735457e-05,2.6510142768998435e-05,1006,2861322.5562906265
spline_logistic,1,soda_frequency,4,1.729626917801319e-06,0.0006099003463989616,1006,2861322.5562906265
spline_logistic,1,soda_frequency,5,-0.0002081795041902479,0.0008969577403283857,1006,2861322.5562906265
spline_logistic,1,juice_frequency,1,2.3383083368216928e-05,0.0003653026269510029,1006,2861322.5562906265
spline_logistic,1,juice_frequency,2,5.113840840406669e-05,0.0009158530754512784,1006,2861322.5562906265
