domain,variable,description,variable_role,kind,units,domain_n,observed_n,missing_n,denominator_n,weighted_denominator,df,confidence,row_type,level,n,unweighted_percent,unweighted_mean,estimate,se,ci_low,ci_high,weighted_sd,ci_method,ci_status
No caries,rural,Urban/rural residence,primary,categorical,count,2347,2347,0,2347,6258645.299423695,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Caries,rural,Urban/rural residence,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Urban,2258,83.97173670509483,,88.7383710700009,0.9676369096464341,86.69541381776736,90.50199433333391,,logit_t,estimated
Caries,rural,Urban/rural residence,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Rural,431,16.02826329490517,,11.2616289299991,0.967636909646434,9.498005666666101,13.304586182232644,,logit_t,estimated
Caries,rural,Urban/rural residence,primary,categorical,count,2689,2689,0,2689,7538551.493308067,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Total,rural,Urban/rural residence,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Urban,4276,84.90865766481335,,89.36561695687317,0.7169609576308614,87.8746031350688,90.6927055203586,,logit_t,estimated
Total,rural,Urban/rural residence,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Rural,760,15.091342335186656,,10.63438304312684,0.7169609576308614,9.307294479641413,12.125396864931224,,logit_t,estimated
Total,rural,Urban/rural residence,primary,categorical,count,5036,5036,0,5036,13797196.792731762,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
No caries,education,"Low <8, intermediate 8–12, high >=13 years of schooling",primary,categorical,percent,2347,2331,16,2331,6230088.150970936,1045,0.95,category,High,654,28.056628056628057,,32.936336996552946,2.2821282220535672,28.62226839687191,37.558491021086596,,logit_t,estimated
No caries,education,"Low <8, intermediate 8–12, high >=13 years of schooling",primary,categorical,percent,2347,2331,16,2331,6230088.150970936,1045,0.95,category,Intermediate,1275,54.6975546975547,,54.890111532476496,2.2069052443541834,50.533480519573246,59.17304133359503,,logit_t,estimated
No caries,education,"Low <8, intermediate 8–12, high >=13 years of schooling",primary,categorical,percent,2347,2331,16,2331,6230088.150970936,1045,0.95,category,Low,402,17.245817245817246,,12.173551470970562,1.276594043621553,9.882122631302185,14.908409291850697,,logit_t,estimated
No caries,education,"Low <8, intermediate 8–12, high >=13 years of schooling",primary,categorical,count,2347,2331,16,2347,6258645.299423695,1045,0.95,missing,Missing,16,0.6817213463996591,,,,,,,not_applicable_missing_count,not_applicable
Caries,education,"Low <8, intermediate 8–12, high >=13 years of schooling",primary,categorical,percent,2689,2667,22,2667,7496852.998221397,1045,0.95,category,High,525,19.68503937007874,,25.51180350033016,1.822825666428718,22.102203181967546,29.2498849349809,,logit_t,estimated
Caries,education,"Low <8, intermediate 8–12, high >=13 years of schooling",primary,categorical,percent,2689,2667,22,2667,7496852.998221397,1045,0.95,category,Intermediate,1536,57.592800899887514,,59.192658782548676,1.8892515357971738,55.439918343858594,62.84118406693883,,logit_t,estimated
Caries,education,"Low <8, intermediate 8–12, high >=13 years of schooling",primary,categorical,percent,2689,2667,22,2667,7496852.998221397,1045,0.95,category,Low,606,22.722159730033745,,15.295537717121164,1.1957433225469858,13.093611626518758,17.791948760648683,,logit_t,estimated
Caries,education,"Low <8, intermediate 8–12, high >=13 years of schooling",primary,categorical,count,2689,2667,22,2689,7538551.493308067,1045,0.95,missing,Missing,22,0.8181480104127928,,,,,,,not_applicable_missing_count,not_applicable
Total,education,"Low <8, intermediate 8–12, high >=13 years of schooling",primary,categorical,percent,5036,4998,38,4998,13726941.149192333,1045,0.95,category,High,1179,23.589435774309724,,28.881490720416036,1.5872689158363231,25.869128277853214,32.09277232443498,,logit_t,estimated
Total,education,"Low <8, intermediate 8–12, high >=13 years of schooling",primary,categorical,percent,5036,4998,38,4998,13726941.149192333,1045,0.95,category,Intermediate,2811,56.24249699879952,,57.23991138235716,1.552859994628331,54.169119903048845,60.25591208433669,,logit_t,estimated
Total,education,"Low <8, intermediate 8–12, high >=13 years of schooling",primary,categorical,percent,5036,4998,38,4998,13726941.149192333,1045,0.95,category,Low,1008,20.168067226890756,,13.878597897226802,0.9443117355610766,12.127215446879328,15.837324998720362,,logit_t,estimated
Total,education,"Low <8, intermediate 8–12, high >=13 years of schooling",primary,categorical,count,5036,4998,38,5036,13797196.792731762,1045,0.95,missing,Missing,38,0.7545671167593329,,,,,,,not_applicable_missing_count,not_applicable
No caries,indigenous,Self-reported membership/ancestry of a recognized indigenous people,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,No,2070,88.19769919045591,,91.61634702782476,0.875434317736722,89.73090261568164,93.18192044643729,,logit_t,estimated
No caries,indigenous,Self-reported membership/ancestry of a recognized indigenous people,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Yes,277,11.802300809544098,,8.383652972175234,0.875434317736722,6.818079553562708,10.269097384318346,,logit_t,estimated
No caries,indigenous,Self-reported membership/ancestry of a recognized indigenous people,primary,categorical,count,2347,2347,0,2347,6258645.299423695,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Caries,indigenous,Self-reported membership/ancestry of a recognized indigenous people,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,No,2362,87.83934548159166,,91.15883952014354,0.8453867245865728,89.3534126592247,92.68317610176017,,logit_t,estimated
Caries,indigenous,Self-reported membership/ancestry of a recognized indigenous people,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Yes,327,12.16065451840833,,8.841160479856462,0.8453867245865729,7.316823898239844,10.646587340775286,,logit_t,estimated
Caries,indigenous,Self-reported membership/ancestry of a recognized indigenous people,primary,categorical,count,2689,2689,0,2689,7538551.493308067,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Total,indigenous,Self-reported membership/ancestry of a recognized indigenous people,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,No,4432,88.00635424940428,,91.36637277892177,0.6223694533255747,90.06435166151363,92.51195585259298,,logit_t,estimated
Total,indigenous,Self-reported membership/ancestry of a recognized indigenous people,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Yes,604,11.99364575059571,,8.633627221078232,0.6223694533255746,7.488044147407015,9.935648338486374,,logit_t,estimated
Total,indigenous,Self-reported membership/ancestry of a recognized indigenous people,primary,categorical,count,5036,5036,0,5036,13797196.792731762,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
No caries,born_chile,Born in Chile,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Yes,2274,96.88964635705156,,96.46819259969426,0.8759226120922642,94.2834104702864,97.83714314297443,,logit_t,estimated
No caries,born_chile,Born in Chile,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,No,73,3.1103536429484446,,3.531807400305736,0.8759226120922642,2.162856857025572,5.716589529713591,,logit_t,estimated
No caries,born_chile,Born in Chile,primary,categorical,count,2347,2347,0,2347,6258645.299423695,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Caries,born_chile,Born in Chile,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Yes,2631,97.84306433618445,,96.26278469705592,1.4422424870751098,92.14409518546152,98.26283927779201,,logit_t,estimated
Caries,born_chile,Born in Chile,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,No,58,2.156935663815545,,3.737215302944083,1.4422424870751098,1.737160722207988,7.855904814538473,,logit_t,estimated
Caries,born_chile,Born in Chile,primary,categorical,count,2689,2689,0,2689,7538551.493308067,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Total,born_chile,Born in Chile,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Yes,4905,97.39872915011914,,96.35596124759908,0.9834720240299413,93.8506031872461,97.86383123447871,,logit_t,estimated
Total,born_chile,Born in Chile,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,No,131,2.6012708498808577,,3.6440387524009172,0.9834720240299413,2.1361687655212878,6.149396812753917,,logit_t,estimated
Total,born_chile,Born in Chile,primary,categorical,count,5036,5036,0,5036,13797196.792731762,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
No caries,teeth_remaining,"Total remaining teeth, upper plus lower jaw",primary,numeric,teeth,2347,2347,0,2347,6258645.299423695,1045,0.95,mean,Mean,2347,,22.232637409458885,24.445726342131742,0.2205561082451344,24.012943054894716,24.878509629368768,7.035110384615012,linearized_t,estimated
No caries,teeth_remaining,"Total remaining teeth, upper plus lower jaw",primary,numeric,count,2347,2347,0,2347,6258645.299423695,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Caries,teeth_remaining,"Total remaining teeth, upper plus lower jaw",primary,numeric,teeth,2689,2689,0,2689,7538551.493308067,1045,0.95,mean,Mean,2689,,21.12420974339903,23.082961840006938,0.2117707025434862,22.667417598151708,23.498506081862168,7.0117264385274165,linearized_t,estimated
Caries,teeth_remaining,"Total remaining teeth, upper plus lower jaw",primary,numeric,count,2689,2689,0,2689,7538551.493308067,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Total,teeth_remaining,"Total remaining teeth, upper plus lower jaw",primary,numeric,teeth,5036,5036,0,5036,13797196.792731762,1045,0.95,mean,Mean,5036,,21.64078633836378,23.701135210552607,0.15921450404409293,23.38871866954513,24.013551751560083,7.055040319091192,linearized_t,estimated
Total,teeth_remaining,"Total remaining teeth, upper plus lower jaw",primary,numeric,count,5036,5036,0,5036,13797196.792731762,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
No caries,fish,Fish/seafood consumption frequency,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,More than once/week,227,9.671921602045163,,8.140613486807279,0.9023076814500048,6.536539015849671,10.095809040413126,,logit_t,estimated
No caries,fish,Fish/seafood consumption frequency,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Once/week,777,33.106092884533446,,36.72752528953477,1.9136247256586563,33.05919120664465,40.556296050244356,,logit_t,estimated
No caries,fish,Fish/seafood consumption frequency,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Less than three times/month,559,23.81763953983809,,23.051065207727355,1.5343726387289127,20.17855547358182,26.198279462518027,,logit_t,estimated
No caries,fish,Fish/seafood consumption frequency,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Less than once/month or never,784,33.4043459735833,,32.08079601593059,1.7023500198803854,28.835877868771302,35.50866702304012,,logit_t,estimated
No caries,fish,Fish/seafood consumption frequency,primary,categorical,count,2347,2347,0,2347,6258645.299423695,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Caries,fish,Fish/seafood consumption frequency,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,More than once/week,265,9.854964670881369,,9.534240476479752,0.9791584017248176,7.778425133594642,11.63638469594425,,logit_t,estimated
Caries,fish,Fish/seafood consumption frequency,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Once/week,877,32.61435477872815,,34.59997594563061,1.7676997382306836,31.217791472181233,38.1453754537229,,logit_t,estimated
Caries,fish,Fish/seafood consumption frequency,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Less than three times/month,611,22.72220156191893,,22.935280732249286,1.4856054974824222,20.15077326089313,25.97937352801796,,logit_t,estimated
Caries,fish,Fish/seafood consumption frequency,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Less than once/month or never,936,34.80847898847155,,32.93050284564035,1.730577221852027,29.627880150251766,36.410790341591316,,logit_t,estimated
Caries,fish,Fish/seafood consumption frequency,primary,categorical,count,2689,2689,0,2689,7538551.493308067,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
